,lat,lon,templ,temp,temph,ACCESS-ESM1-5,AWI-ESM-1-1-LR,CESM2,CNRM-CM6-1,EC-Earth3-LR,FGOALS-f3-L,FGOALS-g3,GISS-E2-1-G,HadGEM3-GC31-LL,INM-CM4-8,IPSL-CM6A-LR,MIROC-ES2L,MPI-ESM1-2-LR,NESM3,NorESM1-F,NorESM2-LM
0,67.77,5.92,-7.079195044,-3.488813081,3.532641303,1.610348463,-1.56948483,0.367389649,0.8999511,5.107932091,-0.228685454,1.395397663,1.155015945,2.200125217,0.168410212,0.020510295,0.107010551,-0.071534947,-2.557237864,0.010830054,-0.312919825
1,40.58,-9.87,-5.155825512,0.001726541,4.701011518,1.139434338,0.511616051,0.130719408,0.793926179,0.99385184,-0.061777826,0.117517993,0.237960383,0.547994256,-0.496589392,-0.992177725,-0.077305347,-0.130367339,-0.578744411,0.10031648,0.022890026
2,37.57,-10.13,-3.183499203,2.527955089,4.534537755,1.069978237,0.392590016,-0.216747567,0.72423625,0.792548299,-0.144001916,-0.018158281,0.117245801,0.329241723,-0.615062296,-1.122227311,-0.10423246,-0.105949566,-0.572729826,-0.168114051,-0.274042547
3,37.57,-10.13,1.928170439,3.978735948,6.026646052,1.069978237,0.392590016,-0.216747567,0.72423625,0.792548299,-0.144001916,-0.018158281,0.117245801,0.329241723,-0.615062296,-1.122227311,-0.10423246,-0.105949566,-0.572729826,-0.168114051,-0.274042547
4,29,-87.11,1.206421094,3.221673812,5.109452529,0.340589076,0.169086441,-0.218680859,0.433254123,0.5401721,-0.543469369,-0.230784491,-0.045813926,0.378553897,-0.323696613,-0.025027379,0.06929332,0.23517257,-1.092004657,0.073893435,0.049880937
5,17.64,-67.17,-3.982676913,-1.637554866,0.469399497,0.417848587,-0.271976024,-0.164256975,0.441394538,0.371146917,-0.287947327,-0.135089427,-0.060758431,0.646144748,-0.13357003,-0.027293796,-0.217604443,-0.072268493,-0.182801202,0.100822158,0.040593665
6,2.5,9.39,-2.529668679,-0.767081241,1.181746918,0.037919581,-0.274130017,-0.309940696,0.007384361,-0.059807632,-0.422965318,0.014114168,-0.498685718,-0.165545061,-0.182620436,-0.447185963,-0.730219066,-0.207762584,-0.543821812,-0.384539455,-0.271259248
7,64.78,-29.57,-2.753828081,2.291355369,5.366761153,4.619820118,-0.560265303,0.984076917,1.392761946,6.432128429,0.258417815,1.165534258,0.573869288,2.627269983,0.528586745,-0.22661829,1.947396517,0.068425678,1.832397699,0.043912709,0.78035295
8,54,-46.2,0.885149497,3.566594866,5.93723976,4.42711401,-0.04379002,0.808530033,1.23631084,9.162887573,-0.258544683,2.047963619,-0.001418032,2.061839581,-1.142290473,-1.836719394,0.282097667,-0.075774401,0.575297892,-0.434803396,0.260865659
9,53.53,-20.29,-6.283190425,0.163742597,2.270496349,2.049375534,0.733477294,-0.197141707,0.697927177,3.097531796,-0.042264488,0.565341055,0.082522459,1.005083203,-0.274800271,-0.965304375,0.058110472,-0.363630444,-0.510439336,-0.342932403,-0.529865503
10,52.58,-21.93,-9.111861401,-2.514401303,1.148880225,1.903749824,1.082440734,-0.392776251,0.65514046,2.781149626,0.065173812,0.592595398,0.069311932,0.846008658,-0.406713039,-0.935780644,-0.04229217,-0.37208125,-0.325267315,-0.267970473,-0.655745685
11,50,-23.74,-4.575401801,0.546781249,3.678364389,1.535938382,0.970513165,-0.704196334,0.592389166,2.335170031,0.218628585,0.615776956,0.060146697,0.57087481,-0.964636087,-0.920427382,-0.23687622,-0.312097162,-0.004771936,-0.294316441,-0.811463833
12,44,-23.51,-5.556401349,0.078145984,3.415023443,0.75908047,0.5064134,-0.675244808,0.747459531,2.01678586,-0.234078363,0.394515127,0.213891596,0.46321252,-0.729262233,-0.512785256,-0.1418951,-0.116988897,0.03466161,-0.029783979,-0.213178307
13,42.1,-52.75,-1.290802887,1.390262061,3.962429329,-0.016066551,-0.951750398,-0.965209603,0.766486526,0.346433282,-0.885272861,0.928654075,0.009084726,0.606795967,-1.421930432,0.004075072,-0.992047608,-0.937213182,0.708716512,-0.739262104,-0.723458052
14,41,-32.93,-3.969851212,-0.89086548,1.708343636,0.951910138,0.285862923,-0.709465981,0.968478143,0.665821493,-0.438869357,0.35272336,0.323821813,0.320970893,-0.400640309,-0.498032212,-0.026716579,-0.165443659,0.327943116,0.214936942,0.102705449
15,27,-18.98,-1.777787161,0.016037226,1.852252864,0.38060531,0.191756815,-0.377109349,0.835010886,0.943576097,-0.289615661,-0.422252893,0.217070073,0.694040954,0.452237904,-0.332406938,0.031640384,0.283838063,-0.065344334,-0.272330135,-0.481022209
