number,model,color,ncl_R,ncl_G,ncl_B,r,g,b
1,BCC-CSM1-1,MidnightBlue,25,25,112,0.098039216,0.098039216,0.439215686
2,CCSM4,darkturquoise,0,206,209,0,0.807843137,0.819607843
3,CNRM-CM5,MidnightBlue,25,25,112,0.098039216,0.098039216,0.439215686
4,CSIRO-Mk3-6-0,MidnightBlue,25,25,112,0.098039216,0.098039216,0.439215686
5,CSIRO-Mk3L-1-2,MidnightBlue,25,25,112,0.098039216,0.098039216,0.439215686
6,EC-EARTH-2-2,deeppink2,238,18,137,0.933333333,0.070588235,0.537254902
7,FGOALS-s2,blue4,0,0,139,0,0,0.545098039
8,FGOALS-g2,lightblue1,191,239,255,0.749019608,0.937254902,1
9,GISS-E2-R,magenta4,139,0,139,0.545098039,0,0.545098039
10,HadGEM2-CC,green4,0,139,0,0,0.545098039,0
11,HadGEM2-ES,green4,0,139,0,0,0.545098039,0
12,IPSL-CM5A-LR,chocolate4,139,69,19,0.545098039,0.270588235,0.074509804
13,MIROC-ESM,purple,160,32,240,0.62745098,0.125490196,0.941176471
14,MPI-ESM-P,brown4,139,35,35,0.545098039,0.137254902,0.137254902
15,MRI-CGCM3,darkseagreen4,105,139,105,0.411764706,0.545098039,0.411764706
