lat, lon, alpha_anm_mean, alpha_se_mean, alpha_tstat,alpha_sig, alpha_sig_val,alpha_npts
   67.000000,  -161.000000,        -0.0841,         0.0344,        -2.4448,        -1.0000,        -0.0841,     1
   67.000000,  -157.000000,         0.0370,         0.0248,         1.4893,         0.0000,         0.0000,     2
   69.000000,  -157.000000,        -0.0464,         0.0197,        -2.3553,        -1.0000,        -0.0464,     1
   67.000000,  -155.000000,         0.0454,         0.0194,         2.3435,         1.0000,         0.0454,     4
   63.000000,  -153.000000,        -0.2950,         0.0480,        -6.1458,        -1.0000,        -0.2950,     1
   67.000000,  -153.000000,         0.0225,         0.0130,         1.7278,         0.0000,         0.0000,     2
   63.000000,  -151.000000,         0.0400,         0.0367,         1.0899,         0.0000,         0.0000,     1
   65.000000,  -151.000000,         0.0200,         0.0215,         0.9302,         0.0000,         0.0000,     1
   67.000000,  -151.000000,         0.0460,         0.0314,         1.4650,         0.0000,         0.0000,     1
   67.000000,  -149.000000,         0.0210,         0.0355,         0.5915,         0.0000,         0.0000,     1
   67.000000,  -147.000000,         0.0454,         0.0359,         1.2646,         0.0000,         0.0000,     1
   69.000000,  -147.000000,         0.1749,         0.0268,         6.5261,         1.0000,         0.1749,     1
   63.000000,  -145.000000,        -0.0190,         0.0265,        -0.7180,         0.0000,         0.0000,     2
   65.000000,  -145.000000,         0.0370,         0.0393,         0.9415,         0.0000,         0.0000,     1
   69.000000,  -145.000000,         0.1670,         0.0450,         3.7111,         1.0000,         0.1670,     1
   67.000000,  -143.000000,         0.0140,         0.0325,         0.4303,         0.0000,         0.0000,     2
   65.000000,  -139.000000,        -0.1072,         0.0586,        -1.8294,         0.0000,         0.0000,     1
   69.000000,  -139.000000,        -0.0560,         0.0438,        -1.2785,         0.0000,         0.0000,     1
   67.000000,  -133.000000,        -0.0666,         0.0283,        -2.3534,        -1.0000,        -0.0666,     1
   53.000000,  -131.000000,         0.0000,         0.0333,         0.0000,         0.0000,         0.0000,     1
   63.000000,  -129.000000,        -0.0759,         0.0450,        -1.6867,         0.0000,         0.0000,     1
   51.000000,  -127.000000,        -0.1785,         0.0329,        -5.4255,        -1.0000,        -0.1785,     1
   65.000000,  -127.000000,         0.0450,         0.0185,         2.4324,         1.0000,         0.0450,     1
   43.000000,  -123.000000,        -0.0890,         0.0257,        -3.4630,        -1.0000,        -0.0890,     1
   45.000000,  -123.000000,        -0.0750,         0.0171,        -4.3858,        -1.0000,        -0.0750,     2
   47.000000,  -123.000000,        -0.0390,         0.0457,        -0.8534,         0.0000,         0.0000,     1
   49.000000,  -123.000000,        -0.0810,         0.0362,        -2.2364,        -1.0000,        -0.0810,     2
   59.000000,  -123.000000,        -0.1250,         0.0446,        -2.8027,        -1.0000,        -0.1250,     1
   63.000000,  -123.000000,        -0.0805,         0.0442,        -1.8213,         0.0000,         0.0000,     1
   45.000000,  -121.000000,         0.0410,         0.0102,         4.0196,         1.0000,         0.0410,     1
   51.000000,  -121.000000,        -0.0487,         0.0309,        -1.5754,         0.0000,         0.0000,     3
   57.000000,  -121.000000,         0.0260,         0.0182,         1.4294,         0.0000,         0.0000,     2
   37.000000,  -119.000000,        -0.0296,         0.0228,        -1.2978,         0.0000,         0.0000,     6
   49.000000,  -119.000000,         0.0796,         0.0461,         1.7267,         0.0000,         0.0000,     1
   55.000000,  -119.000000,         0.0578,         0.0299,         1.9331,         0.0000,         0.0000,     1
   57.000000,  -119.000000,         0.0460,         0.0208,         2.2115,         1.0000,         0.0460,     1
   33.000000,  -117.000000,         0.2580,         0.0703,         3.6700,         1.0000,         0.2580,     1
   51.000000,  -117.000000,        -0.0288,         0.0222,        -1.2968,         0.0000,         0.0000,     4
   53.000000,  -117.000000,         0.2150,         0.0336,         6.3988,         1.0000,         0.2150,     1
   39.000000,  -115.000000,         0.0575,         0.0504,         1.1415,         0.0000,         0.0000,     2
   41.000000,  -115.000000,         0.0443,         0.0504,         0.8797,         0.0000,         0.0000,     2
   51.000000,  -115.000000,         0.0800,         0.0393,         2.0356,         1.0000,         0.0800,     1
   53.000000,  -115.000000,        -0.2600,         0.0333,        -7.8078,        -1.0000,        -0.2600,     1
   59.000000,  -115.000000,         0.0820,         0.0295,         2.7797,         1.0000,         0.0820,     1
   31.000000,  -113.000000,         0.0722,         0.0504,         1.4321,         0.0000,         0.0000,     2
   37.000000,  -113.000000,         0.1064,         0.0268,         3.9701,         1.0000,         0.1064,     1
   45.000000,  -113.000000,        -0.0440,         0.0504,        -0.8727,         0.0000,         0.0000,     2
   47.000000,  -113.000000,        -0.1280,         0.0257,        -4.9805,        -1.0000,        -0.1280,     1
   55.000000,  -113.000000,        -0.0660,         0.0150,        -4.4089,        -1.0000,        -0.0660,     2
   57.000000,  -113.000000,         0.0320,         0.0174,         1.8391,         0.0000,         0.0000,     1
   35.000000,  -111.000000,         0.0320,         0.0212,         1.5094,         0.0000,         0.0000,     1
   37.000000,  -111.000000,         0.0188,         0.0250,         0.7532,         0.0000,         0.0000,     7
   39.000000,  -111.000000,        -0.0090,         0.0261,        -0.3448,         0.0000,         0.0000,     1
   43.000000,  -111.000000,         0.0040,         0.0089,         0.4485,         0.0000,         0.0000,     3
