,lat,lon,ref
0,27,99,1.3776
1,28,99,1.301
2,28,101,1.9388
3,29,102,2.5255
4,30,104,4.3878
5,30,106,1.6582
6,32,104,2.0096583
7,33,98,1.8367
8,33,105,2.2704
9,35,113,1.021183
10,35,114,1.352
11,39,103,0.9439
12,40,105,0.7961677
13,40,106,0.8140394
14,42,95,0.0
15,42,96,2.1429
16,42,97,2.1939
17,42,104,0.5165304
18,43,97,1.6327
19,43,104,0.25503257
20,43,105,0.53316593
21,44,104,0.8055089
22,44,108,0.57133645
23,45,104,1.8091092
24,45,105,0.79795486
25,45,106,0.7653
26,45,107,0.5135444
27,45,108,0.57812154
28,46,95,1.6582
29,47,94,2.449
30,48,89,2.0153
31,48,109,0.5824027
32,51,95,1.4351948
33,51,96,2.3724
34,52,81,0.9949
35,54,96,1.1217622
36,54,103,1.2992799
37,55,81,0.0
38,55,98,2.0408
39,55,104,4.2602
40,56,88,0.5357
41,56,98,1.4031
42,56,99,0.9694
43,57,95,1.6776727
44,58,49,0.65675086
45,59,33,2.7472
46,59,35,1.9425638
47,59,41,1.3736
48,59,49,0.79530954
49,59,84,0.8418
50,60,33,1.9425638
51,60,41,1.0378388
52,60,46,1.0392807
53,60,47,1.0387697
54,60,48,0.7017771
55,60,88,3.9541
56,61,30,2.7472
57,61,31,1.7066897
58,61,43,2.7472
59,61,45,2.7472
60,61,46,1.3183244
61,61,50,1.3743014
62,61,57,1.9425638
63,61,87,1.9425638
64,62,34,1.0585023
65,62,42,2.7472
66,62,47,0.9674311
67,62,49,2.7472
68,62,50,1.85
69,62,102,2.7472
70,62,108,1.5860966
71,62,110,2.7472
72,62,113,1.4830965
73,62,157,1.9425638
74,63,30,0.60623527
75,63,33,1.3206681
76,63,34,0.96815526
77,63,35,1.3042814
78,63,36,0.92279977
79,63,37,1.3800819
80,63,44,1.2450974
81,63,45,1.3154227
82,63,47,0.97737026
83,63,49,1.2232366
84,63,50,1.1247833
85,63,51,1.0450524
86,63,86,1.5860966
87,63,88,1.1989801
88,63,89,2.7472
89,63,92,1.5051
90,63,101,2.7472
91,63,104,1.1215397
92,63,105,1.5860966
93,63,106,2.7472
94,63,112,2.7472
95,64,32,1.9425638
96,64,34,1.4082568
97,64,37,1.4020878
98,64,40,1.4962238
99,64,42,1.5304908
100,64,49,1.3505849
101,64,50,0.8502728
102,64,51,1.3732004
103,64,89,1.4789726
104,64,90,1.5860966
105,64,91,1.5860966
106,64,92,1.5860966
107,64,100,0.9819952
108,64,101,0.987334
109,64,105,1.9425638
110,64,111,2.7472
111,65,32,1.9425638
112,65,36,1.4161416
113,65,37,1.3892442
114,65,38,1.1869117
115,65,45,1.0146809
116,65,46,0.57903004
117,65,47,0.7163586
118,65,48,0.5625316
119,65,49,0.881458
