,lat,lon,ref
0,27,99,0.9439
1,28,99,0.6378
2,28,101,1.3776
3,29,102,1.2245
4,30,104,1.301
5,30,106,2.4235
6,32,104,0.8135666
7,33,98,1.8112
8,33,105,1.8112
9,35,113,0.811094
10,35,114,2.7296
11,39,103,1.5051
12,40,105,1.0379206
13,40,106,0.93528175
14,42,95,0.0
15,42,96,3.0102
16,42,97,3.3163
17,42,104,0.7192423
18,43,97,2.8827
19,43,104,0.3517779
20,43,105,0.80902886
21,44,104,1.0024643
22,44,108,0.53961706
23,45,104,0.60487473
24,45,105,0.9572522
25,45,106,0.9949
26,45,107,0.2523305
27,45,108,0.6602281
28,46,95,2.4745
29,47,94,2.3469
30,48,89,2.5765
31,48,109,0.43237573
32,51,95,1.1434568
33,51,96,1.8367
34,52,81,2.1173
35,54,96,0.81791514
36,54,103,1.4525164
37,55,44,1.4161934
38,55,81,0.0
39,55,98,2.1429
40,55,104,2.7041
41,56,88,0.9439
42,56,98,1.4796
43,56,99,1.0714
44,57,95,1.2963592
45,58,49,0.42498776
46,59,33,2.0028
47,59,41,0.7080967
48,59,49,0.51737785
49,59,84,2.3724
50,60,33,1.4161934
51,60,41,0.5162749
52,60,46,0.67399055
53,60,47,0.68136793
54,60,48,0.43586844
55,60,88,2.2194
56,61,30,1.1563171
57,61,31,0.95135975
58,61,35,1.1563171
59,61,43,1.1563171
60,61,45,1.1563171
61,61,46,0.8033637
62,61,50,0.80718935
63,61,57,1.0014
64,61,87,1.4161934
65,62,34,0.53876966
66,62,35,0.89567935
67,62,42,1.1563171
68,62,47,0.7033185
69,62,49,1.1563171
70,62,50,0.66
71,62,102,2.0028
72,62,108,1.1563171
73,62,110,2.0028
74,62,113,1.0772322
75,62,157,1.4161934
76,63,30,0.3517679
77,63,33,0.8153304
78,63,34,0.6738754
79,63,35,0.6342942
80,63,36,0.5537401
81,63,37,0.88074386
82,63,44,0.66551024
83,63,45,0.75784564
84,63,47,0.5775296
85,63,49,0.6640648
86,63,50,0.63083386
87,63,51,0.6053896
88,63,86,1.1563171
89,63,88,0.8047681
90,63,89,2.0028
91,63,92,2.5255
92,63,101,2.0028
93,63,104,0.81763965
94,63,105,1.1563171
95,63,106,2.0028
96,63,112,2.0028
97,64,32,1.4161934
98,64,34,0.88263154
99,64,37,0.97982574
100,64,40,0.81293595
101,64,42,0.8724256
102,64,49,0.8055118
103,64,50,0.49901098
104,64,51,0.8038341
105,64,89,1.1393533
106,64,90,1.1563171
107,64,91,1.1563171
108,64,92,1.1563171
109,64,100,0.7269284
110,64,101,0.88176894
111,64,105,1.4161934
112,64,111,2.0028
113,65,32,1.4161934
114,65,36,0.9740984
115,65,37,1.0018007
116,65,38,0.7134945
117,65,45,0.676502
118,65,46,0.37126964
119,65,47,0.45391202
120,65,48,0.35014537
121,65,49,0.5122747
122,65,51,0.4775874
123,65,52,0.24992737
124,65,53,0.47575477
125,65,54,0.31471074
126,65,55,0.67526656
127,65,86,1.4161934
128,65,88,2.0028
129,65,89,1.4161934
130,65,90,1.4572377
131,65,91,2.0028
132,65,97,1.2315617
133,65,100,0.81197155
134,65,101,1.1563171
135,65,102,0.9363372
136,65,105,2.0028
137,65,106,2.0028
138,65,108,2.0028
139,65,112,0.5357
140,65,113,0.2041
141,65,127,0.7143
142,65,147,1.4161934
143,66,28,0.8033265
144,66,34,0.58198774
145,66,35,1.0014
146,66,42,0.6720703
147,66,43,0.31744286
148,66,44,0.807024
149,66,45,0.24757455
150,66,47,0.41079086
151,66,48,0.4648657
152,66,49,0.33760506
153,66,50,0.37739858
154,66,51,0.70239204
155,66,52,0.56740886
156,66,53,0.30146304
157,66,54,0.51228094
158,66,55,0.5183912
159,66,86,0.66994
160,66,87,0.9228726
161,66,88,0.65175927
162,66,89,0.66250914
163,66,90,1.0866451
164,66,91,0.8542784
165,66,92,0.9197313
166,66,93,2.0028
167,66,94,1.0956882
168,66,96,0.7827046
169,66,98,1.0269749
170,66,101,0.759471
171,66,102,1.0191289
172,66,103,0.81763965
173,66,104,0.7465444
174,66,110,0.5599421
175,67,28,0.51337373
176,67,29,0.82020366
177,67,33,1.4161934
178,67,34,0.35659897
179,67,36,0.71495897
180,67,40,1.4161934
181,67,41,0.4750189
182,67,42,1.1563171
183,67,43,0.21895193
184,67,44,0.38919094
185,67,45,0.8755007
186,67,46,0.4176196
187,67,47,0.38816264
188,67,49,0.3372901
189,67,50,0.24375498
190,67,51,0.24940108
191,67,52,0.32930946
192,67,53,0.20921701
193,67,54,0.23055363
