lat, lon, mtco_anm_mean, mtco_se_mean, mtco_tstat,mtco_sig, mtco_sig_val,mtco_npts
   65.000000,  -167.000000,        -3.8295,         1.5861,        -2.4144,        -1.0000,        -3.8295,     3
   63.000000,  -163.000000,        -1.1449,         1.5861,        -0.7219,         0.0000,         0.0000,     3
   67.000000,  -161.000000,        -4.1880,         0.8672,        -4.8296,        -1.0000,        -4.1880,     8
   69.000000,  -161.000000,         0.7931,         1.1653,         0.6806,         0.0000,         0.0000,     5
   67.000000,  -157.000000,         0.7113,         0.8122,         0.8757,         0.0000,         0.0000,    10
   69.000000,  -157.000000,         0.0449,         1.1003,         0.0408,         0.0000,         0.0000,     5
   67.000000,  -155.000000,         2.1110,         0.5542,         3.8091,         1.0000,         2.1110,    21
   63.000000,  -153.000000,        -6.0140,         1.2892,        -4.6649,        -1.0000,        -6.0140,     1
   67.000000,  -153.000000,        -0.0032,         0.7053,        -0.0045,         0.0000,         0.0000,    13
   63.000000,  -151.000000,        -1.6218,         1.1212,        -1.4464,         0.0000,         0.0000,     5
   65.000000,  -151.000000,        -0.5921,         0.9350,        -0.6333,         0.0000,         0.0000,     6
   67.000000,  -151.000000,         0.8055,         1.0990,         0.7329,         0.0000,         0.0000,     5
   61.000000,  -149.000000,        -5.5317,         1.5861,        -3.4876,        -1.0000,        -5.5317,     3
   67.000000,  -149.000000,         0.5068,         1.0384,         0.4880,         0.0000,         0.0000,     5
   65.000000,  -147.000000,        -0.3063,         1.5861,        -0.1931,         0.0000,         0.0000,     3
   67.000000,  -147.000000,         1.3300,         0.9448,         1.4077,         0.0000,         0.0000,     6
   69.000000,  -147.000000,         0.1806,         1.1179,         0.1615,         0.0000,         0.0000,     5
   63.000000,  -145.000000,        -0.8176,         0.7309,        -1.1185,         0.0000,         0.0000,    12
   65.000000,  -145.000000,         1.1360,         1.1951,         0.9506,         0.0000,         0.0000,     4
   69.000000,  -145.000000,         1.0344,         1.1132,         0.9292,         0.0000,         0.0000,     5
   67.000000,  -143.000000,         0.1398,         0.7187,         0.1945,         0.0000,         0.0000,    11
   65.000000,  -139.000000,         1.4805,         1.2214,         1.2121,         0.0000,         0.0000,     4
   69.000000,  -139.000000,         1.5980,         0.9602,         1.6642,         0.0000,         0.0000,     6
   59.000000,  -135.000000,         0.0000,         2.7472,         0.0000,         0.0000,         0.0000,     1
   65.000000,  -135.000000,         0.1309,         1.1302,         0.1158,         0.0000,         0.0000,     5
   53.000000,  -133.000000,         0.0000,         2.7472,         0.0000,         0.0000,         0.0000,     1
   67.000000,  -133.000000,         0.8616,         0.9366,         0.9199,         0.0000,         0.0000,     6
   69.000000,  -133.000000,         0.1181,         0.5694,         0.2074,         0.0000,         0.0000,    19
   53.000000,  -131.000000,         0.0000,         1.5492,         0.0000,         0.0000,         0.0000,     2
   55.000000,  -131.000000,         0.3000,         2.7472,         0.1092,         0.0000,         0.0000,     1
