lat, lon, gdd5_anm_mean, gdd5_se_mean, gdd5_tstat,gdd5_sig, gdd5_sig_val,gdd5_npts
   67.000000,  -161.000000,       178.6570,        82.8944,         2.1552,         1.0000,       178.6570,     1
   67.000000,  -157.000000,       -39.6285,        43.4295,        -0.9125,         0.0000,         0.0000,     2
   69.000000,  -157.000000,       122.6710,        43.6523,         2.8102,         1.0000,       122.6710,     1
   67.000000,  -155.000000,        -7.7000,        24.1281,        -0.3191,         0.0000,         0.0000,     4
   63.000000,  -153.000000,      -209.2860,        59.7653,        -3.5018,        -1.0000,      -209.2860,     1
   67.000000,  -153.000000,       -50.2000,        15.9671,        -3.1440,        -1.0000,       -50.2000,     2
   63.000000,  -151.000000,        94.3430,        44.1130,         2.1387,         1.0000,        94.3430,     1
   65.000000,  -151.000000,        17.9860,        37.6834,         0.4773,         0.0000,         0.0000,     1
   67.000000,  -151.000000,      -136.7000,        54.1729,        -2.5234,        -1.0000,      -136.7000,     1
   67.000000,  -149.000000,        61.1140,        63.5011,         0.9624,         0.0000,         0.0000,     1
   67.000000,  -147.000000,       314.9570,        37.4619,         8.4074,         1.0000,       314.9570,     1
   69.000000,  -147.000000,       171.8000,        53.1652,         3.2314,         1.0000,       171.8000,     1
   63.000000,  -145.000000,         5.0075,        31.3530,         0.1597,         0.0000,         0.0000,     2
   65.000000,  -145.000000,       359.4860,        47.4984,         7.5684,         1.0000,       359.4860,     1
   69.000000,  -145.000000,       510.5290,        71.5929,         7.1310,         1.0000,       510.5290,     1
   67.000000,  -143.000000,        48.1285,        28.2319,         1.7048,         0.0000,         0.0000,     2
   65.000000,  -139.000000,       253.9710,        40.6304,         6.2508,         1.0000,       253.9710,     1
   69.000000,  -139.000000,       -50.7290,        68.1674,        -0.7442,         0.0000,         0.0000,     1
   67.000000,  -133.000000,       -43.8860,        70.3796,        -0.6236,         0.0000,         0.0000,     1
   53.000000,  -131.000000,         0.0000,        48.3632,         0.0000,         0.0000,         0.0000,     1
   63.000000,  -129.000000,       346.2290,        96.3704,         3.5927,         1.0000,       346.2290,     1
   51.000000,  -127.000000,      -440.2290,        57.3376,        -7.6778,        -1.0000,      -440.2290,     1
   65.000000,  -127.000000,       -93.2720,        56.6327,        -1.6470,         0.0000,         0.0000,     1
   43.000000,  -123.000000,       243.1000,        44.8266,         5.4231,         1.0000,       243.1000,     1
   45.000000,  -123.000000,       -62.2360,        65.4777,        -0.9505,         0.0000,         0.0000,     2
   47.000000,  -123.000000,      -792.3570,       106.8135,        -7.4181,        -1.0000,      -792.3570,     1
   49.000000,  -123.000000,      -171.0210,        82.9885,        -2.0608,        -1.0000,      -171.0210,     2
   59.000000,  -123.000000,      -284.4000,        85.6464,        -3.3206,        -1.0000,      -284.4000,     1
   63.000000,  -123.000000,      -425.5710,        74.0013,        -5.7509,        -1.0000,      -425.5710,     1
   45.000000,  -121.000000,       501.7570,       128.5752,         3.9024,         1.0000,       501.7570,     1
   51.000000,  -121.000000,       340.6857,        66.4714,         5.1253,         1.0000,       340.6857,     3
   57.000000,  -121.000000,       -22.4925,        46.6424,        -0.4822,         0.0000,         0.0000,     2
   37.000000,  -119.000000,        45.0122,        85.5532,         0.5261,         0.0000,         0.0000,     6
   49.000000,  -119.000000,      -267.1860,       176.7464,        -1.5117,         0.0000,         0.0000,     1
   55.000000,  -119.000000,      -122.1570,        44.8806,        -2.7218,        -1.0000,      -122.1570,     1
   57.000000,  -119.000000,         2.4150,        32.4993,         0.0743,         0.0000,         0.0000,     1
   33.000000,  -117.000000,     -2717.0859,       546.6614,        -4.9703,        -1.0000,     -2717.0859,     1
   51.000000,  -117.000000,       196.0287,        69.1058,         2.8366,         1.0000,       196.0287,     4
   53.000000,  -117.000000,      -163.8140,       114.0357,        -1.4365,         0.0000,         0.0000,     1
   39.000000,  -115.000000,        -4.5000,       183.7361,        -0.0245,         0.0000,         0.0000,     2
   41.000000,  -115.000000,       -61.5000,       183.7361,        -0.3347,         0.0000,         0.0000,     2
   51.000000,  -115.000000,      -288.8430,        97.1928,        -2.9719,        -1.0000,      -288.8430,     1
   53.000000,  -115.000000,      -354.6140,       207.5233,        -1.7088,         0.0000,         0.0000,     1
   59.000000,  -115.000000,      -135.0000,        83.7841,        -1.6113,         0.0000,         0.0000,     1
   31.000000,  -113.000000,      -833.5000,       183.7361,        -4.5364,        -1.0000,      -833.5000,     2
   37.000000,  -113.000000,      -498.1290,       109.6456,        -4.5431,        -1.0000,      -498.1290,     1
   45.000000,  -113.000000,       179.7500,       183.7361,         0.9783,         0.0000,         0.0000,     2
   47.000000,  -113.000000,        27.5710,       112.9006,         0.2442,         0.0000,         0.0000,     1
   55.000000,  -113.000000,      -105.4215,        66.2580,        -1.5911,         0.0000,         0.0000,     2
   57.000000,  -113.000000,       -19.9720,        65.0311,        -0.3071,         0.0000,         0.0000,     1
   35.000000,  -111.000000,      1210.1140,       370.9279,         3.2624,         1.0000,      1210.1140,     1
   37.000000,  -111.000000,        57.6530,        94.2130,         0.6119,         0.0000,         0.0000,     7
   39.000000,  -111.000000,        29.9720,        92.6901,         0.3234,         0.0000,         0.0000,     1
   43.000000,  -111.000000,       -11.6380,        64.0418,        -0.1817,         0.0000,         0.0000,     3
   45.000000,  -111.000000,        24.3523,        46.2124,         0.5270,         0.0000,         0.0000,     6
   47.000000,  -111.000000,       -90.0290,        88.6871,        -1.0151,         0.0000,         0.0000,     1
   63.000000,  -111.000000,       211.6860,        64.4482,         3.2846,         1.0000,       211.6860,     1
   65.000000,  -111.000000,      -256.0860,        58.2505,        -4.3963,        -1.0000,      -256.0860,     2
   37.000000,  -109.000000,      -759.2950,       126.7994,        -5.9882,        -1.0000,      -759.2950,     3
   37.000000,  -107.000000,       -30.9430,        70.0933,        -0.4415,         0.0000,         0.0000,     2
   41.000000,  -107.000000,      -159.9430,        97.9775,        -1.6324,         0.0000,         0.0000,     1
   45.000000,  -107.000000,        61.3850,       150.7322,         0.4072,         0.0000,         0.0000,     1
   51.000000,  -107.000000,       -10.8570,        57.1040,        -0.1901,         0.0000,         0.0000,     1
   37.000000,  -105.000000,       -12.6570,        69.6014,        -0.1818,         0.0000,         0.0000,     1
   39.000000,  -105.000000,       245.0860,       133.2956,         1.8387,         0.0000,         0.0000,     1
   41.000000,  -105.000000,        49.2430,       168.0887,         0.2930,         0.0000,         0.0000,     1
   55.000000,  -105.000000,         7.8860,        13.3501,         0.5907,         0.0000,         0.0000,     1
   41.000000,  -103.000000,      -515.8570,       410.9884,        -1.2552,         0.0000,         0.0000,     1
   49.000000,  -101.000000,       -95.9000,        54.3339,        -1.7650,         0.0000,         0.0000,     1
   57.000000,  -101.000000,      -354.2140,        84.4055,        -4.1966,        -1.0000,      -354.2140,     1
   61.000000,  -101.000000,       294.0710,        63.6212,         4.6222,         1.0000,       294.0710,     1
   63.000000,  -101.000000,       111.8710,       127.8586,         0.8750,         0.0000,         0.0000,     1
   39.000000,   -99.000000,      -520.5430,       241.3228,        -2.1570,        -1.0000,      -520.5430,     1
   47.000000,   -99.000000,      -256.2935,        36.8166,        -6.9614,        -1.0000,      -256.2935,     2
   49.000000,   -99.000000,      -209.0860,        29.6753,        -7.0458,        -1.0000,      -209.0860,     2
   51.000000,   -99.000000,       289.2710,        25.5462,        11.3234,         1.0000,       289.2710,     1
   53.000000,   -99.000000,        -9.4570,         8.0317,        -1.1775,         0.0000,         0.0000,     1
   45.000000,   -97.000000,      -136.0360,        36.3362,        -3.7438,        -1.0000,      -136.0360,     2
   47.000000,   -97.000000,      -125.2215,        34.2978,        -3.6510,        -1.0000,      -125.2215,     2
   43.000000,   -95.000000,      -299.3570,        68.9003,        -4.3448,        -1.0000,      -299.3570,     1
   47.000000,   -95.000000,       124.1226,        18.2926,         6.7854,         1.0000,       124.1226,    12
   51.000000,   -95.000000,       -19.1710,        35.5442,        -0.5394,         0.0000,         0.0000,     1
   73.000000,   -95.000000,         0.0355,         0.0331,         1.0741,         0.0000,         0.0000,     2
