lat, lon, map_anm_mean, map_se_mean, map_tstat,map_sig, map_sig_val,map_npts,p
65,-167,157.2808,85.6701,1.8359,0,0,3,0.007430724
63,-163,-105.057,85.6701,-1.2263,0,0,3,0.007430724
67,-161,21.9625,37.9735,0.5784,0,0,8,0.016760969
69,-161,10.2215,59.6159,0.1715,0,0,5,0.01067769
67,-157,36.7113,39.9548,0.9188,0,0,10,0.015930173
69,-157,1.5288,59.3881,0.0257,0,0,5,0.010718639
67,-155,52.066,28.7057,1.8138,0,0,21,0.022168504
63,-153,-192,34.0017,-5.6468,-1,-192,1,0.018717779
67,-153,0.946,37.8592,0.025,0,0,13,0.016811549
63,-151,-37.3514,59.7672,-0.6249,0,0,5,0.010650664
65,-151,-6.6422,49.5668,-0.134,0,0,6,0.012841931
67,-151,-29.0208,59.4243,-0.4884,0,0,5,0.010712111
61,-149,-121.0608,85.6701,-1.4131,0,0,3,0.007430724
67,-149,4.5039,52.1426,0.0864,0,0,5,0.01220771
65,-147,-4.6298,85.6701,-0.054,0,0,3,0.007430724
67,-147,46.6614,49.5677,0.9414,0,0,6,0.012841698
69,-147,50.15,59.6497,0.8407,0,0,5,0.01067164
63,-145,26.9396,39.6523,0.6794,0,0,12,0.01605165
65,-145,60.8924,64.5026,0.944,0,0,4,0.009868886
69,-145,125.2086,59.7233,2.0965,1,125.2086,5,0.010658492
67,-143,48.3567,38.3237,1.2618,0,0,11,0.016607878
65,-139,10.8114,64.7156,0.1671,0,0,4,0.009836409
69,-139,65.9687,51.4114,1.2832,0,0,6,0.012381291
59,-135,0,148.385,0,0,0,1,0.004290259
65,-135,10.8823,59.6343,0.1825,0,0,5,0.010674396
53,-133,0,148.385,0,0,0,1,0.004290259
67,-133,97.559,50.4883,1.9323,0,0,6,0.012607605
69,-133,48.3305,30.3409,1.5929,0,0,19,0.020974638
53,-131,0,156.7357,0,0,0,2,0.004061686
55,-131,29,148.385,0.1954,0,0,1,0.004290259
61,-131,-66.4913,85.6701,-0.7761,0,0,3,0.007430724
61,-129,-159.4973,85.6701,-1.8618,0,0,3,0.007430724
63,-129,176.118,62.6552,2.8109,1,176.118,5,0.010159823
65,-129,1.4397,85.6701,0.0168,0,0,3,0.007430724
51,-127,-178.143,309.1621,-0.5762,0,0,1,0.002059171
65,-127,38.7323,36.4059,1.0639,0,0,15,0.017482324
43,-123,-582.9777,79.4124,-7.3411,-1,-582.9777,3,0.008016206
45,-123,-382.0651,52.4125,-7.2896,-1,-382.0651,7,0.012144861
47,-123,567.5,107.3173,5.2881,1,567.5,2,0.005931955
49,-123,31.1847,66.9002,0.4661,0,0,7,0.009515254
59,-123,-85.4285,79.6408,-1.0727,0,0,2,0.007993219
61,-123,171.935,74.6501,2.3032,1,171.935,2,0.00852754
63,-123,-89.714,26.806,-3.3468,-1,-89.714,1,0.023738144
71,-123,54.22,148.385,0.3654,0,0,1,0.004290259
45,-121,108.1427,73.6369,1.4686,0,0,3,0.008644859
49,-121,1220,148.385,8.2219,1,1220,1,0.004290259
51,-121,258.3714,82.8854,3.1172,1,258.3714,5,0.00768035
57,-121,-6.7102,42.9808,-0.1561,0,0,5,0.014809053
59,-121,188.9,51.8112,3.6459,1,188.9,1,0.012285775
33,-119,0,148.385,0,0,0,1,0.004290259
37,-119,-6.3372,34.9535,-0.1813,0,0,16,0.018208367
49,-119,51.429,70.9186,0.7252,0,0,1,0.008976172
55,-119,2.571,16.5945,0.1549,0,0,1,0.038316963
57,-119,33.0928,51.8347,0.6384,0,0,5,0.012280206
63,-119,19.6767,70.5833,0.2788,0,0,3,0.009018807
33,-117,359.665,116.1307,3.0971,1,359.665,3,0.005481789
51,-117,-45.4416,41.3145,-1.0999,0,0,9,0.015406104
53,-117,-78.9793,76.2339,-1.036,0,0,3,0.008350396
39,-115,88,104.924,0.8387,0,0,2,0.006067253
41,-115,47,104.924,0.4479,0,0,2,0.006067253
51,-115,40.7143,73.3357,0.5552,0,0,3,0.008680361
53,-115,-72.143,106.1717,-0.6795,0,0,1,0.005995957
59,-115,147.5333,52.7651,2.796,1,147.5333,3,0.012063723
29,-113,226,148.385,1.5231,0,0,1,0.004290259
31,-113,100,104.924,0.9531,0,0,2,0.006067253
37,-113,149.2547,70.5678,2.1151,1,149.2547,3,0.009020788
45,-113,73,104.924,0.6957,0,0,2,0.006067253
47,-113,142.286,51.3578,2.7705,1,142.286,1,0.01239421
49,-113,27.915,104.924,0.266,0,0,2,0.006067253
55,-113,61.757,45.6845,1.3518,0,0,5,0.013932912
57,-113,4.4035,52.7805,0.0834,0,0,4,0.012060204
35,-111,30.9557,55.3723,0.559,0,0,6,0.01149583
37,-111,21.7143,52.0162,0.4175,0,0,7,0.012237368
39,-111,4.4285,75.7321,0.0585,0,0,2,0.008405719
43,-111,6.6042,43.973,0.1502,0,0,5,0.01447502
45,-111,-68.1121,30.3077,-2.2474,-1,-68.1121,14,0.020997598
47,-111,-23.638,70.0527,-0.3374,0,0,3,0.009087109
63,-111,240.3297,76.7376,3.1318,1,240.3297,3,0.008295591
65,-111,55.9287,58.0294,0.9638,0,0,6,0.010969556
29,-109,-148.3333,85.6701,-1.7314,0,0,3,0.007430724
37,-109,106.1903,70.2416,1.5118,0,0,3,0.009062675
37,-107,-30.5302,49.6189,-0.6153,0,0,6,0.01282845
41,-107,134.255,76.3045,1.7595,0,0,2,0.008342671
45,-107,72.9867,64.6813,1.1284,0,0,4,0.009841624
51,-107,15.8212,52.6937,0.3002,0,0,4,0.012080066
53,-107,-26.24,70.965,-0.3698,0,0,3,0.008970304
61,-107,152.295,78.6062,1.9374,0,0,2,0.008098412
37,-105,7.7855,78.0189,0.0998,0,0,2,0.008159368
39,-105,36.7805,78.1326,0.4707,0,0,2,0.008147496
41,-105,-14.4285,74.781,-0.1929,0,0,2,0.008512615
53,-105,3.6967,70.3922,0.0525,0,0,3,0.009043288
55,-105,-38.968,43.0159,-0.9059,0,0,5,0.014796973
41,-103,-3.6453,54.4218,-0.067,0,0,4,0.011696565
57,-103,-37.7567,50.1276,-0.7532,0,0,3,0.012698301
49,-101,-22.5237,70.0849,-0.3214,0,0,3,0.009082935
55,-101,27.8,74.4964,0.3732,0,0,2,0.008545132
57,-101,-152.2275,53.8919,-2.8247,-1,-152.2275,4,0.011811547
