,lat,lon,mtwa-mtco_anm_mean,row,col
0,-35,19,5.6224003,27,99
1,-33,19,6.8989997,28,99
2,-33,23,5.6612,28,101
3,-31,25,4.2745,29,102
4,-29,29,2.5121999,30,104
5,-29,33,4.3417997,30,106
6,-25,29,5.123675,32,104
7,-23,17,3.2633,33,98
8,-23,31,3.5296001,33,105
9,-19,47,5.2454834,35,113
10,-19,49,2.448,35,114
11,-11,27,2.9561,39,103
12,-9,31,-2.5831678,40,105
13,-9,33,-5.1885395,40,106
14,-5,11,1.3,42,95
15,-5,13,-0.6429,42,96
16,-5,15,0.50609994,42,97
17,-5,29,-1.1363082,42,104
18,-3,15,1.1673,43,97
19,-3,29,-1.2364942,43,104
20,-3,31,-1.8906657,43,105
21,-1,29,-0.1255089,44,104
22,-1,37,4.216664,44,108
23,1,29,4.6408906,45,104
24,1,31,-5.612955,45,105
25,1,33,-0.16529995,45,106
26,1,35,5.458789,45,107
27,1,37,0.56304514,45,108
28,3,11,-1.0582,46,95
29,5,9,-1.0489999,47,94
30,7,-1,-1.0153,48,89
31,7,39,4.6927223,48,109
32,13,11,0.63147175,51,95
33,13,13,1.5276,51,96
34,15,-17,0.30509996,52,81
35,19,13,1.6782378,54,96
36,19,27,1.05072,54,103
37,21,-17,-4,55,81
38,21,17,-8.4408,55,98
39,21,29,-0.7602,55,104
40,23,-3,0.0643,56,88
41,23,17,5.2969,56,98
42,23,19,4.6306,56,99
43,25,11,4.422327,57,95
44,27,-81,-0.7580842,58,49
45,29,-113,-15.3472,59,33
46,29,-97,-1.608575,59,41
47,29,-81,-1.1424732,59,49
48,29,-11,2.3582,59,84
49,31,-113,-3.5475638,60,33
50,31,-97,-1.712096,60,41
51,31,-87,-1.233614,60,46
52,31,-85,-1.4137697,60,47
53,31,-83,-0.96821463,60,48
54,31,-3,-0.3541,60,88
55,33,-119,-4.0138335,61,30
56,33,-117,-4.99707,61,31
57,33,-93,-2.7471666,61,43
58,33,-89,-7.913833,61,45
59,33,-87,-1.4883244,61,46
60,33,-79,-1.3084815,61,50
61,33,-65,-1.1175637,61,57
62,33,-5,-1.3125638,61,87
63,35,-111,-7.6912394,62,34
64,35,-95,-14.9472,62,42
65,35,-85,-0.6374111,62,47
66,35,-81,-2.6472,62,49
67,35,-79,-2.5,62,50
68,35,25,-4.9372,62,102
69,35,37,-5.16443,62,108
70,35,41,-5.1972,62,110
71,35,47,-5.5937634,62,113
72,35,135,-3.7425637,62,157
73,37,-119,-2.8826802,63,30
74,37,-113,-7.6768684,63,33
75,37,-111,-0.8258928,63,34
76,37,-109,-4.1314816,63,35
77,37,-107,-0.35015434,63,36
78,37,-105,-1.0085819,63,37
79,37,-91,0.26854014,63,44
80,37,-89,-0.7105726,63,45
81,37,-85,-1.273543,63,47
82,37,-81,-4.4982243,63,49
83,37,-79,-3.4403167,63,50
84,37,-77,-1.1200525,63,51
85,37,-7,-1.2260966,63,86
86,37,-3,-5.87278,63,88
87,37,-1,-5.7172003,63,89
88,37,5,3.1948998,63,92
89,37,23,-6.4872,63,101
90,37,29,-2.4648728,63,104
91,37,31,-4.0057635,63,105
92,37,33,-0.5372,63,106
93,37,45,-1.7672,63,112
94,39,-115,-2.7825637,64,32
95,39,-111,-2.2760067,64,34
96,39,-105,-0.7057546,64,37
97,39,-99,-4.222004,64,40
98,39,-95,-1.9929907,64,42
99,39,-81,0.89141524,64,49
100,39,-79,-0.24005133,64,50
101,39,-77,-1.2332004,64,51
102,39,-1,-5.4979725,64,89
103,39,1,-4.082763,64,90
104,39,3,-2.4427633,64,91
105,39,5,-2.4327633,64,92
106,39,21,-1.1382452,64,100
107,39,23,-5.5476675,64,101
108,39,31,-2.5375638,64,105
109,39,43,-6.7072,64,111
110,41,-115,-2.8525639,65,32
111,41,-107,-4.093775,65,36
112,41,-105,-1.3419108,65,37
113,41,-103,-5.489245,65,38
114,41,-89,0.13716924,65,45
115,41,-87,-0.9291062,65,46
116,41,-85,-0.4621443,65,47
117,41,-83,0.7358284,65,48
118,41,-81,-1.3651272,65,49
119,41,-77,-0.7654039,65,51
120,41,-75,-1.0647473,65,52
121,41,-73,-0.7872393,65,53
122,41,-71,-0.63254994,65,54
123,41,-69,-1.2151612,65,55
124,41,-7,0.20743632,65,86
125,41,-3,-4.1472,65,88
126,41,-1,-3.5325637,65,89
127,41,1,-5.3128147,65,90
128,41,3,-6.8072,65,91
129,41,15,-2.4743414,65,97
130,41,21,-2.7927895,65,100
131,41,23,5.30057,65,101
132,41,25,-2.8030524,65,102
133,41,31,-0.08719993,65,105
134,41,33,-1.4072,65,106
135,41,37,-0.33719993,65,108
136,41,45,-11.527599,65,112
137,41,47,3.4754999,65,113
138,41,75,5.5112,65,127
139,41,115,-5.192564,65,147
140,43,-123,-3.6420715,66,28
141,43,-111,-1.2648449,66,34
142,43,-95,-1.7291164,66,42
143,43,-93,-0.45662194,66,43
144,43,-91,-1.6554883,66,44
145,43,-89,0.06967723,66,45
146,43,-85,-0.052579045,66,47
147,43,-83,-0.63662356,66,48
148,43,-81,-1.216578,66,49
149,43,-79,-0.07402593,66,50
150,43,-77,-3.6819139,66,51
151,43,-75,0.29796726,66,52
152,43,-73,-0.2902559,66,53
153,43,-71,-2.0760965,66,54
154,43,-69,-1.1919378,66,55
155,43,-7,0.30659723,66,86
156,43,-5,1.9821264,66,87
157,43,-3,0.18671125,66,88
158,43,-1,-2.6197553,66,89
159,43,1,0.31403804,66,90
160,43,3,0.5783665,66,91
161,43,5,-3.1167798,66,92
162,43,7,-7.2772,66,93
163,43,9,-1.2878916,66,94
164,43,13,-1.2691083,66,96
165,43,17,-1.8170036,66,98
166,43,23,0.59115803,66,101
167,43,25,-0.1735797,66,102
168,43,27,-1.0660397,66,103
169,43,29,-1.7007093,66,104
170,43,41,1.9643065,66,110
171,45,-123,-1.9225615,67,28
172,45,-121,-0.7225422,67,29
173,45,-113,-1.0925637,67,33
174,45,-111,-1.9104244,67,34
175,45,-107,-2.3637536,67,36
176,45,-97,-1.7466285,67,41
177,45,-95,-5.1805,67,42
178,45,-93,-0.79350364,67,43
179,45,-91,0.51839083,67,44
180,45,-89,2.4891584,67,45
181,45,-87,-0.69407743,67,46
182,45,-85,-2.0583496,67,47
183,45,-81,-0.16024563,67,49
184,45,-79,-0.3601324,67,50
185,45,-77,-0.6022404,67,51
186,45,-75,-0.12452155,67,52
187,45,-73,-0.39952806,67,53
188,45,-71,1.2616851,67,54
189,45,-69,-1.592721,67,55
190,45,-67,0.78919935,67,56
191,45,-65,-1.2674769,67,57
192,45,-63,-0.6601261,67,58
193,45,-5,-2.752555,67,87
194,45,-1,-3.1625638,67,89
195,45,1,-2.5305724,67,90
196,45,3,1.2420322,67,91
197,45,5,-0.43219286,67,92
198,45,7,2.5936477,67,93
199,45,9,-1.6113646,67,94
200,45,11,-0.09269178,67,95
201,45,13,-2.2030468,67,96
202,45,15,-1.6105087,67,97
203,45,21,-0.88267076,67,100
204,45,23,2.543013,67,101
205,45,27,0.42651272,67,103
206,47,-123,-2.105554,68,28
207,47,-113,-2.3091,68,33
208,47,-111,-0.8741227,68,34
209,47,-99,-1.4138558,68,40
210,47,-97,-1.3863122,68,41
211,47,-95,0.06466016,68,42
212,47,-93,0.13215965,68,43
213,47,-91,0.5912335,68,44
214,47,-89,0.104040146,68,45
215,47,-87,0.5070658,68,46
216,47,-85,1.0024916,68,47
217,47,-81,0.17319125,68,49
218,47,-79,-2.5716763,68,50
219,47,-77,-2.44847,68,51
220,47,-75,0.17249542,68,52
221,47,-73,-0.82854843,68,53
222,47,-71,0.89065456,68,54
223,47,-69,-0.5355981,68,55
224,47,-65,-3.578916,68,57
225,47,-63,-1.9772882,68,58
226,47,-61,0.13127351,68,59
227,47,-53,-0.5107172,68,63
228,47,-3,-0.6429806,68,88
229,47,-1,0.2863443,68,89
230,47,5,3.4011705,68,92
231,47,7,1.4125249,68,93
232,47,9,2.872294,68,94
233,47,11,0.8672538,68,95
234,47,13,1.7894752,68,96
235,47,15,0.57860017,68,97
236,47,17,-2.826171,68,98
237,47,19,-4.511507,68,99
238,47,23,0.15430272,68,101
