,lat,lon,anom
0,-79.5,-112.5,0.564948309
1,-78.5,108.5,0.13456121
2,-77.5,39.5,-0.154090909
3,-75.5,123.5,0.08179606099999999
4,-74.5,97.5,-0.156755653
5,-66.5,112.5,0.095
6,-66.5,138.5,0.804
7,-64.5,-64.5,0.210747588
8,-64.5,-57.5,0.6306090910000001
9,-54.5,-69.5,-0.064321429
10,-53.5,-58.5,1.865681335
11,-51.5,-70.5,1.689547619
12,-50.5,6.5,-1.726966667
13,-46.5,169.5,0.31855
14,-46.5,167.5,0.993306667
15,-45.5,170.5,0.30693000000000004
16,-43.5,167.5,1.24666868
17,-41.5,-74.5,0.581884799
18,-40.5,172.5,0.142709538
19,-37.5,175.5,0.08886818199999999
20,-36.5,177.5,1.79
21,-36.5,174.5,-0.57
22,-36.5,136.5,0.6432665120000001
23,-34.5,17.5,-0.127992982
24,-33.5,22.5,-0.261833333
25,-32.5,-72.5,2.6846242830000002
26,-29.5,19.5,-0.814257005
27,-27.5,28.5,0.44421557100000003
28,-25.5,-45.5,0.7117916670000001
29,-25.5,13.5,0.720837222
30,-25.5,153.5,1.35
31,-24.5,28.5,0.676458333
32,-23.5,12.5,0.528208652
33,-19.5,37.5,0.36067355
34,-18.5,37.5,0.253029055
35,-17.5,-71.5,-0.156109666
36,-17.5,-71.5,-0.11595074300000001
37,-17.5,11.5,0.879231815
38,-15.5,-75.5,-0.380513131
39,-14.5,-61.5,0.75
40,-13.5,121.5,0.457255576
41,-11.5,13.5,-0.556750367
42,-11.5,34.5,0.35083333299999997
43,-11.5,-78.5,-0.228622672
44,-9.5,118.5,-2.30527
45,-9.5,-79.5,1.1938964429999999
46,-9.5,120.5,0.771586235
47,-8.5,112.5,-1.293567148
48,-7.5,115.5,0.328111583
49,-7.5,115.5,-0.089700393
50,-7.5,105.5,-0.49146000000000006
51,-7.5,39.5,-0.09699954400000001
52,-5.5,11.5,0.240833333
53,-5.5,11.5,0.36022042200000004
54,-5.5,117.5,0.34042001
55,-5.5,133.5,0.402423587
56,-4.5,-36.5,-0.195506805
57,-4.5,-36.5,1.242936529
58,-3.5,-81.5,0.661968609
59,-3.5,119.5,0.268425
60,-3.5,119.5,0.73290128
61,-3.5,37.5,0.8625
62,-2.5,144.5,-0.635758553
63,-2.5,156.5,-3.72179487
64,-0.5,99.5,0.0014518679999999998
65,0.5,37.5,1.116666667
66,1.5,98.5,0.272620894
67,2.5,9.5,1.8956055980000002
68,2.5,9.5,2.492555996
69,2.5,36.5,-0.8161666670000001
70,3.5,96.5,0.685841789
71,6.5,125.5,-0.007588721999999999
72,6.5,125.5,-0.921567411
73,6.5,113.5,-0.000589433
74,7.5,-83.5,0.21901254
75,8.5,109.5,-0.797807316
76,10.5,-65.5,0.24000717600000002
77,10.5,-65.5,1.499125091
78,10.5,51.5,-0.196402102
79,10.5,74.5,0.8017048720000001
80,11.5,-66.5,-0.832227444
81,11.5,44.5,0.370447189
82,12.5,37.5,7.5075
83,12.5,-61.5,-0.522078926
84,14.5,57.5,0.5847023029999999
85,20.5,117.5,-0.407342616
86,20.5,117.5,-0.42716416
87,20.5,-18.5,0.07747936400000001
88,20.5,-18.5,0.768824121
89,20.5,-18.5,-1.70625
90,24.5,-83.5,-0.5197
91,24.5,65.5,0.508654342
92,26.5,-92.5,1.560269965
93,27.5,34.5,-0.556871428
94,30.5,110.5,1.139583333
95,30.5,91.5,3.7347449999999998
