,lat,lon,anom,row,col
0,-50.5,6.5,0.1865,39,186
1,-24.5,28.5,-0.51275,65,208
2,-18.5,37.5,0.008333334,71,217
3,12.5,-61.5,-0.261333333,102,118
4,14.5,57.5,0.725,104,237
5,32.5,-4.5,-0.604444444,122,175
6,33.5,-119.5,0.507333333,123,60
7,33.5,-78.5,-0.64095,123,101
8,34.5,-95.5,1.599958334,124,84
9,37.5,-111.5,0.675666667,127,68
10,37.5,-108.5,0.143713333,127,71
11,37.5,-107.5,-0.519957142,127,72
12,38.5,-107.5,0.243958333,128,72
13,38.5,-106.5,-0.3976,128,73
14,38.5,43.5,-1.375469386,128,223
15,39.5,-105.5,-0.695428571,129,74
16,40.5,-105.5,-1.3277,130,74
17,41.5,-86.5,-0.009666667,131,93
18,41.5,-84.5,-0.105738095,131,95
19,41.5,-74.5,0.75964286,131,105
20,41.5,-73.5,-0.31575,131,106
21,41.5,-70.5,0.465541667,131,109
22,41.5,-0.5,0.307017009,131,179
23,41.5,23.5,0.937857149,131,203
24,42.5,-109.5,-1.2505,132,70
25,42.5,-73.5,0.309812698,132,106
26,42.5,-72.5,0.09444898,132,107
27,42.5,-71.5,0.426998297,132,108
28,43.5,-95.5,1.177476191,133,84
29,43.5,-93.5,1.914916667,133,86
30,43.5,-89.5,1.277404167,133,90
31,43.5,-88.5,-0.123625,133,91
32,43.5,-85.5,-1.571,133,94
33,43.5,-80.5,-0.157628571,133,99
34,43.5,-69.5,0.315416667,133,110
35,43.5,-6.5,-1.261517857,133,173
36,43.5,-3.5,-0.28807143,133,176
37,43.5,-2.5,0.007857143,133,177
38,43.5,28.5,-1.585999996,133,208
39,43.5,40.5,2.837619042,133,220
40,44.5,-123.5,-0.804,134,56
41,44.5,-99.5,-3.6098,134,80
42,44.5,-93.5,0.229404764,134,86
43,44.5,-87.5,0.619,134,92
44,44.5,-78.5,-0.495616667,134,101
45,44.5,-76.5,1.344705556,134,103
46,44.5,-70.5,0.199745833,134,109
47,44.5,-69.5,-0.19225,134,110
48,44.5,7.5,0.744952379,134,187
49,44.5,10.5,-1.759771826,134,190
50,45.5,-122.5,-0.940333334,135,57
51,45.5,-120.5,-2.023666667,135,59
52,45.5,-93.5,0.665833333,135,86
53,45.5,-79.5,1.669625,135,100
54,45.5,-77.5,1.120816666,135,102
55,45.5,-73.5,0.820033333,135,106
56,45.5,-70.5,0.301214286,135,109
57,45.5,-68.5,-0.006767461,135,111
58,45.5,5.5,1.37079365,135,185
59,46.5,-98.5,-0.313425,136,81
60,46.5,-95.5,2.142833333,136,84
61,46.5,-94.5,2.144408335,136,85
62,46.5,-88.5,0.177857143,136,91
63,46.5,-87.5,0.37975,136,92
64,46.5,-78.5,0.947809524,136,101
65,46.5,-77.5,0.851083333,136,102
66,46.5,-73.5,-1.09975,136,106
67,46.5,-70.5,-0.3934,136,109
68,46.5,6.5,-0.176317457,136,186
69,46.5,7.5,2.65175946,136,187
70,46.5,8.5,1.240306123,136,188
71,46.5,10.5,-0.004166666,136,190
72,46.5,11.5,1.096476192,136,191
73,46.5,17.5,-0.33109524,136,197
74,46.5,32.5,-0.71121429,136,212
75,47.5,-93.5,0.112844444,137,86
76,47.5,-64.5,-1.838059524,137,115
77,47.5,-53.5,0.4735,137,126
78,47.5,-2.5,4.86289683,137,177
79,47.5,-1.5,0.079142856,137,178
80,47.5,7.5,0.037396827,137,187
81,47.5,8.5,-1.853843538,137,188
82,47.5,11.5,1.230393991,137,191
83,47.5,12.5,-0.098214284,137,192
84,48.5,-124.5,0.720041667,138,55
85,48.5,-64.5,0.476,138,115
86,48.5,-0.5,0.212857146,138,179
87,48.5,6.5,-1.901142858,138,186
88,48.5,8.5,-0.023511572,138,188
89,49.5,-102.5,0.286,139,77
90,49.5,-74.5,-2.469642858,139,105
91,49.5,-65.5,-1.793,139,114
92,49.5,-1.5,-0.049693878,139,178
93,49.5,-0.5,1.304285721,139,179
94,49.5,19.5,1.407797618,139,199
95,49.5,21.5,-0.324569162,139,201
96,49.5,25.5,2.643571425,139,205
97,49.5,117.5,-0.8615,139,297
98,50.5,-99.5,1.44075,140,80
99,50.5,-66.5,2.669166667,140,113
100,50.5,-56.5,0.628833333,140,123
101,50.5,-55.5,-11.5356875,140,124
102,50.5,0.5,0.418408163,140,180
103,50.5,6.5,2.013978924,140,186
104,50.5,11.5,1.547000001,140,191
105,50.5,16.5,5.883571423,140,196
106,51.5,-100.5,-8.513555557,141,79
107,51.5,23.5,-0.358095237,141,203
108,52.5,-131.5,-0.2208,142,48
109,52.5,-67.5,-8.85325,142,112
110,52.5,-66.5,-2.002333333,142,113
111,52.5,-58.5,9.2328,142,121
112,52.5,-56.5,3.0612,142,123
113,52.5,17.5,-2.571669272,142,197
114,52.5,19.5,-1.411965609,142,199
115,52.5,20.5,-0.251357143,142,200
116,53.5,-66.5,-2.24625,143,113
117,53.5,8.5,2.055419643,143,188
118,53.5,17.5,-0.736,143,197
119,53.5,20.5,-2.010952384,143,200
120,54.5,-101.5,0.411,144,78
121,54.5,-69.5,1.289625,144,110
122,54.5,-6.5,-0.335753968,144,173
123,54.5,18.5,-0.292063494,144,198
124,54.5,24.5,2.227857142,144,204
125,54.5,28.5,-1.329285711,144,208
126,55.5,-119.5,0.6855,145,60
127,55.5,-75.5,-0.362,145,104
128,55.5,-73.5,0.9075,145,106
129,55.5,-63.5,2.572041667,145,116
130,55.5,-62.5,2.871028572,145,117
131,55.5,-14.5,0.45,145,165
132,55.5,13.5,-4.279873017,145,193
133,56.5,-119.5,-1.319,146,60
134,56.5,-101.5,6.378095239,146,78
135,56.5,-75.5,0.177500001,146,104
136,56.5,-74.5,0.622175,146,105
137,56.5,-64.5,1.316066668,146,115
138,57.5,-76.5,0.0175,147,103
139,57.5,-75.5,0.002666666,147,104
140,57.5,-3.5,3.551904762,147,176
141,57.5,14.5,-4.066071428,147,194
142,58.5,-75.5,-0.720666667,148,104
143,58.5,-71.5,4.686,148,108
144,58.5,-6.5,1.847357143,148,173
145,58.5,13.5,-2.013571431,148,193
146,58.5,22.5,-1.440666668,148,202
147,58.5,26.5,-5.215269842,148,206
148,58.5,27.5,4.685068024,148,207
149,59.5,6.5,-0.46328369,149,186
150,59.5,27.5,2.14452381,149,207
151,60.5,-129.5,1.953433333,150,50
152,60.5,-6.5,-0.377,150,173
153,61.5,-130.5,-0.020625,151,49
154,61.5,-100.5,2.09425,151,79
155,61.5,-58.5,0.09047619,151,121
156,62.5,22.5,-1.961571428,152,202
157,64.5,-138.5,-0.871965278,154,41
158,64.5,-128.5,-0.9334,154,51
159,64.5,-127.5,0.042666667,154,52
160,64.5,-110.5,0.358829629,154,69
161,65.5,-126.5,-3.53045,155,53
162,66.5,-66.5,-2.867777778,156,113
163,66.5,-20.5,0.09888284,156,159
164,66.5,14.5,0.801777778,156,194
165,66.5,29.5,-0.413571428,156,209
166,67.5,-153.5,-2.494333333,157,26
167,67.5,-50.5,3.3231,157,129
168,68.5,-138.5,-0.131,158,41
169,68.5,-133.5,1.388857143,158,46
170,68.5,-54.5,0.105,158,125
171,68.5,13.5,7.232351192,158,193
172,68.5,19.5,0.156966667,158,199
173,69.5,20.5,0.578642858,159,200
174,71.5,28.5,4.920277778,161,208
175,73.5,-120.5,-4.048395833,163,59
176,75.5,-82.5,-1.50394,165,97
177,75.5,14.5,-0.2275,165,194
