lat,lon,anom,row,col
-50.5,6.5,-1.909537037,39,186
-46.5,-75.5,-0.366654695,43,104
-41.5,-72.5,1.950639461,48,107
-24.5,28.5,0.805,65,208
-18.5,37.5,0.008333333,71,217
12.5,-61.5,0.383333333,102,118
14.5,57.5,0.225,104,237
23.5,-95.5,1.49725,113,84
31.5,34.5,-1.10144725,121,214
32.5,-4.5,0.389444444,122,175
33.5,-119.5,0.026166667,123,60
33.5,-78.5,0.947566667,123,101
34.5,-95.5,-0.839791667,124,84
36.5,-2.5,0.475234231,126,177
37.5,-111.5,-1.309,127,68
37.5,-108.5,-0.809475,127,71
37.5,-107.5,-0.545721429,127,72
38.5,-107.5,-1.485,128,72
38.5,-106.5,1.439666667,128,73
38.5,43.5,1.801020408,128,223
39.5,-105.5,1.443085714,129,74
40.5,-105.5,-0.85945,130,74
41.5,-86.5,-0.014333333,131,93
41.5,-84.5,0.306761905,131,95
41.5,-74.5,-0.255099207,131,105
41.5,-73.5,0.786,131,106
41.5,-70.5,-0.380375,131,109
41.5,-0.5,-4.251534013,131,179
41.5,23.5,-1.238571429,131,203
42.5,-109.5,-1.2645,132,70
42.5,-73.5,-0.523428571,132,106
42.5,-72.5,0.781959183,132,107
42.5,-71.5,0.462585034,132,108
43.5,-95.5,-1.912539683,133,84
43.5,-93.5,-2.8315,133,86
43.5,-89.5,-0.870225,133,90
43.5,-88.5,0.368,133,91
43.5,-85.5,2.746383333,133,94
43.5,-80.5,-0.291621429,133,99
43.5,-69.5,-0.292666667,133,110
43.5,-6.5,1.890714286,133,173
43.5,-3.5,-0.367357143,133,176
43.5,-2.5,-0.033571429,133,177
43.5,28.5,-3.986,133,208
43.5,40.5,0.390476191,133,220
44.5,-123.5,0.686,134,56
44.5,-99.5,4.7167,134,80
44.5,-93.5,0.208095236,134,86
44.5,-87.5,0.723666667,134,92
44.5,-78.5,0.098266667,134,101
44.5,-76.5,-1.03265,134,103
44.5,-70.5,0.048129167,134,109
44.5,-69.5,0.19075,134,110
44.5,7.5,2.754285714,134,187
44.5,10.5,3.456309524,134,190
45.5,-122.5,1.709604167,135,57
45.5,-120.5,3.547666667,135,59
45.5,-93.5,-0.257722222,135,86
45.5,-79.5,-1.1118125,135,100
45.5,-77.5,-0.801983333,135,102
45.5,-73.5,-0.318477778,135,106
45.5,-70.5,0.662857143,135,109
45.5,-68.5,0.592201588,135,111
45.5,5.5,-1.188095238,135,185
46.5,-98.5,0.5632,136,81
46.5,-95.5,-2.452583333,136,84
46.5,-94.5,-0.831620834,136,85
46.5,-88.5,1.099285714,136,91
46.5,-87.5,1.008583333,136,92
46.5,-78.5,0.112642857,136,101
46.5,-77.5,0.188979167,136,102
46.5,-73.5,1.9535,136,106
46.5,-70.5,1.4389,136,109
46.5,6.5,0.875396825,136,186
46.5,7.5,-0.567505211,136,187
46.5,8.5,2.32238322,136,188
46.5,10.5,0.533333334,136,190
46.5,11.5,1.99747619,136,191
46.5,17.5,-4.173547619,136,197
46.5,32.5,-2.560642857,136,212
47.5,-93.5,1.185594445,137,86
47.5,-64.5,2.719619048,137,115
47.5,-53.5,-0.657,137,126
47.5,-2.5,-0.425079366,137,177
47.5,-1.5,1.257476191,137,178
47.5,7.5,-1.216857143,137,187
47.5,8.5,3.92952381,137,188
47.5,11.5,0.817505669,137,191
47.5,12.5,-0.0575,137,192
48.5,-124.5,-0.900055556,138,55
48.5,-64.5,0.400166667,138,115
48.5,-0.5,1.606904762,138,179
48.5,6.5,1.864142857,138,186
48.5,8.5,2.02364305,138,188
49.5,-102.5,2.8686,139,77
49.5,-74.5,2.29452381,139,105
49.5,-65.5,8.43225,139,114
49.5,-1.5,-0.199081633,139,178
49.5,-0.5,0.489285714,139,179
49.5,19.5,-3.342678572,139,199
49.5,21.5,2.765039683,139,201
49.5,25.5,-1.3375,139,205
49.5,117.5,0.872,139,297
50.5,-99.5,0.78325,140,80
50.5,-66.5,-0.485666667,140,113
50.5,-56.5,0.752,140,123
50.5,-55.5,19.04083333,140,124
50.5,0.5,0.901571428,140,180
50.5,6.5,-1.443186237,140,186
50.5,11.5,-3.483571429,140,191
