,lat,lon,anom
0,-62.5,-58.5,-1.306666667
1,-54.5,-37.5,3.941071429
2,-53.5,-73.5,1.52644
3,-52.5,169.5,-0.1103
4,-52.5,169.5,0.289591667
5,-50.5,-74.5,0.664666667
6,-50.5,6.5,-1.7230370369999999
7,-49.5,-74.5,1.5291005290000002
8,-43.5,51.5,-0.36666666700000006
9,-42.5,146.5,0.435166667
10,-36.5,174.5,0.85
11,-34.5,17.5,-2.56205
12,-24.5,28.5,0.29225
13,-18.5,37.5,0.016666667
14,12.5,-61.5,0.122
15,14.5,57.5,0.95
16,14.5,123.5,0.273333333
17,18.5,57.5,0.0105
18,24.5,102.5,2.541714286
19,26.5,99.5,0.4202
20,32.5,-4.5,-0.215
21,33.5,-116.5,0.4405
22,33.5,-78.5,0.306616667
23,33.5,-119.5,0.5335
24,34.5,97.5,0.401898333
25,34.5,-95.5,0.760166667
26,36.5,100.5,5.457142857000001
27,37.5,96.5,-2.9555406000000004
28,37.5,-108.5,-0.6657616670000001
29,37.5,-107.5,-1.0656785709999999
30,37.5,-111.5,-0.6333333329999999
31,38.5,-119.5,0.284466667
32,38.5,43.5,0.42555102200000006
33,38.5,-106.5,1.042066667
34,38.5,-107.5,0.031
35,38.5,-107.5,-2.513083333
36,39.5,-114.5,-0.309577778
37,39.5,-105.5,0.747657143
38,40.5,-105.5,-2.18715
39,41.5,140.5,0.402713786
40,41.5,-0.5,-3.9445170039999997
41,41.5,-74.5,0.5439285739999999
42,41.5,-74.5,0.465158731
43,41.5,-84.5,0.20102381
44,41.5,-86.5,-0.024
45,41.5,23.5,-0.30071428
46,41.5,-73.5,0.47025
47,41.5,-70.5,0.08516666699999999
48,42.5,-71.5,0.889583331
49,42.5,-73.5,-0.652714286
50,42.5,126.5,4.688166667
51,42.5,126.5,-1.2309375
52,42.5,-73.5,0.278866667
53,42.5,-73.5,-0.267
54,42.5,-72.5,0.876408163
55,42.5,-109.5,-2.515
56,43.5,-6.5,0.629196429
57,43.5,-89.5,0.44658333299999997
58,43.5,-93.5,-0.916583333
59,43.5,-3.5,-0.655428573
60,43.5,-80.5,-0.441
61,43.5,-80.5,-0.4575
62,43.5,-95.5,-0.735063492
63,43.5,-88.5,0.244375
64,43.5,-89.5,0.367775
65,43.5,-85.5,1.1753833329999999
66,43.5,28.5,-5.571999996000001
67,43.5,-2.5,-0.025714286
68,43.5,40.5,3.228095233
69,43.5,-69.5,0.02275
70,44.5,-70.5,0.247875
71,44.5,-87.5,1.3426666669999998
72,44.5,-78.5,-0.39735
73,44.5,7.5,3.499238093
74,44.5,10.5,2.810119046
75,44.5,-123.5,-0.11800000000000001
76,44.5,10.5,1.322708333
77,44.5,10.5,0.956785714
78,44.5,-76.5,0.312055556
79,44.5,-93.5,0.4375
80,44.5,-99.5,1.1069
81,44.5,-69.5,-0.0015
82,45.5,-68.5,0.5144
83,45.5,-93.5,0.408111111
84,45.5,-68.5,0.656468253
85,45.5,-77.5,0.318833333
86,45.5,-79.5,0.5578125
87,45.5,5.5,0.182698412
88,45.5,-73.5,0.668533333
89,45.5,-70.5,0.9640714290000001
90,45.5,-122.5,0.769270833
91,45.5,-120.5,1.524
92,45.5,-73.5,0.7929999999999999
93,45.5,-73.5,0.043133332999999996
94,46.5,-77.5,1.0400625
95,46.5,7.5,5.913523808
96,46.5,-95.5,-0.30975
97,46.5,8.5,5.987795919
98,46.5,7.5,1.9458571409999998
99,46.5,-94.5,0.299325
100,46.5,7.5,4.003632655
101,46.5,7.5,4.201190478
102,46.5,152.5,-0.456997217
103,46.5,-78.5,1.060452381
104,46.5,8.5,2.894081635
105,46.5,32.5,-3.271857147
106,46.5,6.5,0.6990793679999999
107,46.5,-73.5,0.85375
108,46.5,11.5,3.093952382
109,46.5,-88.5,1.277142857
110,46.5,7.5,0.303671848
111,46.5,7.5,-0.051699087000000005
112,46.5,-87.5,1.388333333
113,46.5,-70.5,1.0455
114,46.5,8.5,1.806190475
115,46.5,17.5,-4.504642859
116,46.5,7.5,0.7385714309999999
117,46.5,7.5,-0.38071428
118,46.5,-98.5,0.249775
119,46.5,10.5,0.529166668
120,46.5,-94.5,2.326250002
121,47.5,11.5,2.7544387739999996
122,47.5,11.5,3.7239285730000002
123,47.5,7.5,-1.179460316
124,47.5,11.5,-0.33466836699999997
125,47.5,-64.5,0.881559524
126,47.5,-93.5,1.21815
127,47.5,-1.5,0.397214286
128,47.5,-2.5,4.437817464
129,47.5,-1.5,2.276023807
130,47.5,-93.5,1.095333333
131,47.5,-53.5,-0.1835
132,47.5,12.5,-0.155714284
133,47.5,24.5,0.378666667
134,47.5,8.5,2.199523809
135,47.5,-70.5,-0.074675
136,47.5,8.5,1.951836735
137,47.5,-93.5,1.581833333
138,48.5,6.5,-0.037000001
139,48.5,-64.5,0.876166667
140,48.5,8.5,2.130297621
141,48.5,-0.5,1.819761908
142,48.5,8.5,1.869965334
143,48.5,-124.5,-0.18001388899999998
144,48.5,-123.5,-0.451111111
145,49.5,-120.5,0.7275666670000001
