,lat,lon,anom
0,-50.5,6.5,-1.9095370369999998
1,-46.5,-75.5,-0.366654695
2,-41.5,-72.5,1.950639461
3,-24.5,28.5,0.805
4,-18.5,37.5,0.008333333
5,12.5,-61.5,0.38333333299999994
6,14.5,57.5,0.225
7,23.5,-95.5,1.49725
8,31.5,34.5,-1.10144725
9,32.5,-4.5,0.389444444
10,33.5,-78.5,0.947566667
11,33.5,-119.5,0.026166667
12,34.5,-95.5,-0.8397916670000001
13,36.5,-2.5,0.475234231
14,37.5,-108.5,-0.809475
15,37.5,-107.5,-0.545721429
16,37.5,-111.5,-1.3090000000000002
17,38.5,43.5,1.801020408
18,38.5,-106.5,1.4396666669999998
19,38.5,-107.5,-0.037000000000000005
20,38.5,-107.5,-2.9330000000000003
21,39.5,-105.5,1.443085714
22,40.5,-105.5,-0.85945
23,41.5,-0.5,-4.2515340130000006
24,41.5,-74.5,0.344642857
25,41.5,-74.5,-0.85484127
26,41.5,-84.5,0.306761905
27,41.5,-86.5,-0.014333333
28,41.5,23.5,-1.238571429
29,41.5,-73.5,0.7859999999999999
30,41.5,-70.5,-0.380375
31,42.5,-71.5,0.462585034
32,42.5,-73.5,-1.608285714
33,42.5,-73.5,0.35233333299999997
34,42.5,-73.5,-0.314333333
35,42.5,-72.5,0.781959183
36,42.5,-109.5,-1.2645
37,43.5,-6.5,1.890714286
38,43.5,-89.5,-2.28825
39,43.5,-93.5,-2.8315
40,43.5,-3.5,-0.367357143
41,43.5,-80.5,-0.2141
42,43.5,-80.5,-0.36914285700000005
43,43.5,-95.5,-1.912539683
44,43.5,-88.5,0.368
45,43.5,-89.5,0.5478
46,43.5,-85.5,2.7463833330000003
47,43.5,28.5,-3.986
48,43.5,-2.5,-0.033571429
49,43.5,40.5,0.39047619100000003
50,43.5,-69.5,-0.292666667
51,44.5,-70.5,0.048129167
52,44.5,-87.5,0.723666667
53,44.5,-78.5,0.09826666699999999
54,44.5,7.5,2.754285714
55,44.5,10.5,3.456309524
56,44.5,-123.5,0.6859999999999999
57,44.5,-76.5,-1.03265
58,44.5,-93.5,0.20809523600000002
59,44.5,-99.5,4.7167
60,44.5,-69.5,0.19075
61,45.5,-68.5,1.0598
62,45.5,-93.5,-0.257722222
63,45.5,-68.5,0.124603175
64,45.5,-77.5,-0.801983333
65,45.5,-79.5,-1.1118125
66,45.5,5.5,-1.188095238
67,45.5,-73.5,-0.195066667
68,45.5,-70.5,0.662857143
69,45.5,-122.5,1.709604167
70,45.5,-120.5,3.5476666669999997
71,45.5,-73.5,-0.4575
72,45.5,-73.5,-0.302866667
73,46.5,-77.5,0.188979167
74,46.5,7.5,0.7781904759999999
75,46.5,-95.5,-2.452583333
76,46.5,8.5,3.044530612
77,46.5,7.5,-1.412857143
78,46.5,-94.5,-2.2444916669999997
79,46.5,7.5,-4.262612245
80,46.5,7.5,1.0442857140000001
81,46.5,-78.5,0.112642857
82,46.5,8.5,2.151142857
83,46.5,32.5,-2.560642857
84,46.5,6.5,0.875396825
85,46.5,-73.5,1.9535
86,46.5,11.5,1.99747619
87,46.5,-88.5,1.099285714
88,46.5,7.5,0.500456723
89,46.5,-87.5,1.008583333
90,46.5,-70.5,1.4389
91,46.5,8.5,1.77147619
92,46.5,17.5,-4.173547619
93,46.5,7.5,0.051428571
94,46.5,7.5,-0.6714285720000001
95,46.5,-98.5,0.5632
96,46.5,10.5,0.5333333339999999
97,46.5,-94.5,0.581249999
98,47.5,11.5,1.086836735
99,47.5,11.5,2.384642857
100,47.5,7.5,-1.216857143
101,47.5,11.5,-1.018962585
102,47.5,-64.5,2.719619048
103,47.5,-93.5,0.6972
104,47.5,-1.5,1.512785714
105,47.5,-2.5,-0.425079366
106,47.5,-1.5,1.002166667
107,47.5,-93.5,0.7476666670000001
108,47.5,-53.5,-0.657
109,47.5,12.5,-0.0575
110,47.5,8.5,4.201190476
111,47.5,8.5,3.657857143
112,47.5,-93.5,2.111916667
113,48.5,6.5,1.8641428569999998
114,48.5,-64.5,0.40016666700000003
115,48.5,8.5,2.720857143
116,48.5,-0.5,1.6069047619999999
117,48.5,8.5,1.326428956
118,48.5,-124.5,-0.900055556
119,49.5,117.5,0.872
120,49.5,-65.5,8.43225
121,49.5,-0.5,0.489285714
122,49.5,19.5,-3.342678572
123,49.5,21.5,3.188888889
124,49.5,-74.5,2.29452381
125,49.5,-1.5,-0.199081633
126,49.5,21.5,2.341190476
127,49.5,25.5,-1.3375
128,49.5,-102.5,2.8686
129,50.5,-56.5,0.752
130,50.5,6.5,-1.1255230729999999
131,50.5,6.5,-1.760849401
132,50.5,11.5,-3.483571429
133,50.5,-66.5,-0.48566666700000005
134,50.5,16.5,-6.088571428
135,50.5,-99.5,0.78325
136,50.5,-55.5,19.04083333
137,50.5,0.5,0.901571428
138,51.5,-100.5,11.19288889
139,51.5,23.5,1.32047619
140,52.5,-67.5,7.682
141,52.5,-58.5,-6.28655
142,52.5,17.5,5.481642857000001
143,52.5,-56.5,-2.9383
144,52.5,17.5,5.828619047999999
145,52.5,17.5,6.932698413
146,52.5,20.5,0.406845238
147,52.5,17.5,5.442410714
148,52.5,17.5,5.3887482989999995
149,52.5,19.5,4.331259258999999
150,52.5,17.5,-0.33005291
151,52.5,-66.5,2.2715
152,52.5,-131.5,0.26266666699999996
153,53.5,8.5,-4.008642857
154,53.5,8.5,-1.2313392859999999
155,53.5,20.5,5.261428571000001
156,53.5,17.5,-0.0895
157,53.5,-66.5,3.2105
158,54.5,28.5,1.803571429
159,54.5,18.5,1.159984127
160,54.5,24.5,-0.042428571
161,54.5,-69.5,-0.818125
162,54.5,18.5,1.634761905
163,54.5,-101.5,0.946
164,54.5,-6.5,-0.436190476
165,55.5,-73.5,-0.64325
166,55.5,-62.5,-1.8005142859999999
167,55.5,-75.5,0.052466667
168,55.5,-63.5,-3.6460000000000004
169,55.5,-14.5,0.8
170,55.5,-119.5,0.81425
171,55.5,-63.5,-0.8955
172,55.5,13.5,2.543206349
173,56.5,-74.5,-0.01235
174,56.5,-75.5,-0.066125
175,56.5,-75.5,-0.142833333
176,56.5,-64.5,-0.442714286
177,56.5,-119.5,-0.133333333
178,56.5,-64.5,-1.6768666669999999
179,56.5,-101.5,-7.721571429
180,57.5,-76.5,0.19896428600000002
181,57.5,-3.5,-4.332380953
182,57.5,14.5,4.897857143
183,57.5,-75.5,-0.069333333
184,58.5,-6.5,-1.674071429
185,58.5,-71.5,-1.643
186,58.5,22.5,3.0771768710000003
187,58.5,27.5,-3.966156463
188,58.5,-75.5,1.42275
189,58.5,13.5,1.725428571
190,58.5,26.5,5.2829999999999995
191,58.5,-25.5,0.227321435
192,59.5,27.5,-1.173809525
193,59.5,6.5,1.727642857
194,60.5,-129.5,-5.495533332999999
195,60.5,-6.5,-1.271
196,60.5,14.5,4.157128778
197,61.5,-100.5,-2.492916667
198,61.5,-58.5,-0.5023333329999999
199,61.5,26.5,3.7834573330000003
200,61.5,-130.5,0.768375
201,61.5,16.5,7.0867316670000005
202,62.5,22.5,3.819285714
203,64.5,-110.5,0.20600000000000002
204,64.5,-127.5,0.314333333
205,64.5,-138.5,1.042361111
206,64.5,-128.5,2.8266
207,65.5,-126.5,3.71725
208,66.5,-66.5,3.563825397
209,66.5,29.5,-1.89452381
210,66.5,14.5,1.014888889
211,66.5,-17.5,-0.287162366
212,66.5,-20.5,0.44980573100000004
213,67.5,-50.5,-3.3816
214,67.5,-153.5,5.833333333
215,68.5,13.5,-9.41360119
216,68.5,-133.5,-0.502071429
217,68.5,19.5,0.39023333299999996
218,68.5,-138.5,0.9059
219,68.5,-54.5,0.46055555600000003
220,69.5,20.5,0.307880952
221,71.5,28.5,-1.2925
222,73.5,-120.5,5.154208333
223,75.5,14.5,-1.117666667
224,75.5,-82.5,0.774273333
